# JARVIS Command History
# Формат: STT: "сырой текст" | NORM: "нормализованный" | ROUTE: action(None/имя) | CORRECT: 
# Если команда не распознана — напишите правильное имя после CORRECT:
#   CORRECT: open_firefox
# Если команда распознана верно — оставьте CORRECT пустым.
# Можно удалить всю строку, если она не нужна.
# Система загрузит правки при следующем запуске или по команде 'обучись по логу'.
================================================================================
STT: "от вай фая фолкс" | NORM: "от вай фая фолкс" | ROUTE: NOT_FOUND(0) | CORRECT: open_firefox
STT: "какой час" | NORM: "какой час" | ROUTE: say_date(71) | CORRECT: 
STT: "какой час" | NORM: "какой час" | ROUTE: say_date(66) | CORRECT: 
STT: "открой фокс" | NORM: "открой firefox" | ROUTE: open_firefox(100) | CORRECT: 
STT: "какой час" | NORM: "какой час" | ROUTE: say_date(66) | CORRECT: 
STT: "закрой проводник" | NORM: "закрой проводник" | ROUTE: close_explorer(100) | CORRECT: 
STT: "открой телеграмм" | NORM: "открой телеграмм" | ROUTE: open_telegram(100) | CORRECT: 
STT: "уменьши громкость" | NORM: "уменьши volume" | ROUTE: volume_down(100) | CORRECT: 
STT: "открой недавно и фото" | NORM: "открой недавно фото" | ROUTE: open_telegram(50) | CORRECT: 
STT: "ли телеграмм" | NORM: "ли телеграмм" | ROUTE: open_telegram(100) | CORRECT: 
STT: "открой дилерам" | NORM: "открой дилерам" | ROUTE: open_telegram(82) | CORRECT: 
STT: "открой фая аэропорт" | NORM: "открой фая аэропорт" | ROUTE: open_firefox(40) | CORRECT: 
STT: "открой телеигра телеграмм" | NORM: "открой телеигра телеграмм" | ROUTE: open_telegram(100) | CORRECT: 
STT: "открой аниблейз" | NORM: "открой аниблейз" | ROUTE: app_index(100) | CORRECT: 
STT: "который час" | NORM: "time час" | ROUTE: say_time(100) | CORRECT: 
STT: "загрузка процессора" | NORM: "загрузка процессора" | ROUTE: get_cpu_usage(100) | CORRECT: 
STT: "сколько дней до 31" | NORM: "сколько дней до 31" | ROUTE: days_until(88) | CORRECT: 
STT: "привет как дела" | NORM: "привет дела" | ROUTE: NOT_FOUND(0) | CORRECT: 
STT: "скрой все окна" | NORM: "скрой все окна" | ROUTE: show_desktop(75) | CORRECT: 
STT: "открой аниблейз" | NORM: "открой аниблейз" | ROUTE: app_index(100) | CORRECT: 
STT: "закрой аниблейз" | NORM: "закрой аниблейз" | ROUTE: app_index(100) | CORRECT: 
STT: "который час" | NORM: "time час" | ROUTE: say_time(100) | CORRECT: 
STT: "загрузка процессора" | NORM: "загрузка процессора" | ROUTE: get_cpu_usage(100) | CORRECT: 
STT: "сколько дней до тридцать первого" | NORM: "сколько дней до тридцать первого" | ROUTE: days_until(82) | CORRECT: 
